"Date","000538.SZ.Open","000538.SZ.High","000538.SZ.Low","000538.SZ.Close","000538.SZ.Volume","000538.SZ.Adjusted"
2009-01-01,16.91,16.91,16.91,16.91,0,16.91
2009-01-02,16.91,16.91,16.91,16.91,0,16.91
2009-01-05,16.8486400937866,16.9567702227433,16.2195193434936,16.77,3451800,16.77
2009-01-06,16.5281556886228,16.5674850299401,16.1250299401198,16.42,6012100,16.42
2009-01-07,16.4167807200238,16.7608449866111,16.3676286819399,16.52,1865700,16.52
2009-01-08,16.4608424242424,16.4608424242424,16.1708484848485,16.22,3613800,16.22
2009-01-09,16.221198156682,16.3539170506912,15.8181259600614,16,3598800,16
2009-01-12,15.9781959378734,16.4649163679809,15.7913739545998,16.46,2935400,16.46
2009-01-13,16.4067757575758,16.5738909090909,16.1708484848485,16.22,1721700,16.22
2009-01-14,16.1226822157434,16.973055393586,16.1226822157434,16.86,3825800,16.86
2009-01-15,16.8143198090692,16.8634844868735,16.3964200477327,16.48,989000,16.48
2009-01-16,16.5256012084592,16.5256012084592,16.2110151057402,16.27,4911800,16.27
2009-01-19,16.2653562653563,16.2653562653563,15.9164619164619,16,5386400,16
2009-01-20,15.8538673188627,16.2028981962703,15.8538673188627,16.08,1405800,16.08
2009-01-21,16.0071508379888,16.1054748603352,15.731843575419,15.84,3395300,15.84
2009-01-22,15.942853219408,16.3951327433628,15.942853219408,16.11,3871000,16.11
2009-01-23,16.0924984596426,16.1956869993839,15.7731053604436,15.95,642900,15.95
2009-02-02,16.0661452513966,16.1497206703911,15.7072625698324,15.84,2926800,15.84
2009-02-03,15.840602006689,16.2044147157191,15.6734448160535,16.17,5917100,16.17
2009-02-04,16.1721954161641,16.3,16.024728588661,16.3,5071100,16.3
2009-02-05,16.2894,16.2894,15.8717230769231,15.97,6441900,15.97
2009-02-06,16.0299759036145,16.32,15.912,16.32,10079300,16.32
2009-02-09,16.5146301369863,17.94,16.5146301369863,17.94,19434100,17.94
2009-02-10,17.9376569678407,19.26,17.6033843797856,19.26,10824900,19.26
2009-02-11,18.827089807743,19.171098235449,18.4290229128259,18.66,8296300,18.66
2009-02-12,18.6830545845657,18.6830545845657,17.881860715246,18.28,6065000,18.28
2009-02-16,18.8333129770992,19.6051297709924,18.6809160305344,19.32,5117000,19.32
2009-02-17,19.30612,19.70915,18.927665,19.66,5562700,19.66
2009-02-18,19.4614507772021,20.5426424870466,18.7046165803109,18.97,6307000,18.97
2009-02-19,18.779496591505,19.1678683796539,18.3862087047719,18.75,5714300,18.75
2009-02-20,18.6768041237113,19.2911726804124,18.6276546391753,19.07,1641600,19.07
2009-02-23,19.0659470573117,19.355867386276,18.805510151632,19.12,2933200,19.12
2009-02-24,19.1527769028871,19.3887454068241,18.1990708661417,18.73,5371500,18.73
2009-02-25,18.6815642458101,18.8093854748603,18.3767597765363,18.48,3610900,18.48
2009-02-26,18.5054079956188,18.888786966046,17.940169769989,17.95,3687200,17.95
2009-02-27,17.9363913525499,18.1820953436807,17.5334368070953,17.73,3253000,17.73
2009-03-02,17.692731277533,17.8844025330396,17.5452918502203,17.85,5355300,17.85
2009-03-03,17.6869076086957,18.5815760869565,17.5001086956522,18.09,8673200,18.09
2009-03-04,17.9858991285978,18.7721679429628,17.7500184842884,18.61,4814600,18.61
2009-03-05,18.6383293556086,19.0758949880668,18.5252505966587,18.54,3972000,18.54
2009-03-06,18.4357541899441,18.7061452513966,18.0916201117318,18.48,3340100,18.48
