"Date","002429.SZ.Open","002429.SZ.High","002429.SZ.Low","002429.SZ.Close","002429.SZ.Volume","002429.SZ.Adjusted"
2010-06-10,31.51,34,31.5,33.01,113860600,8.74
2010-06-11,32.06,34.94,32.06,33.89,74603700,8.97
2010-06-17,33.68,33.9,30.5,30.5,49840900,8.07
2010-06-18,29.28,29.78,27.45,27.45,28062400,7.27
2010-06-21,26.71,27.35,25.82,27.1,21587100,7.17
2010-06-22,26.91,27.8,26.85,27.12,15911400,7.18
2010-06-23,27.4,27.66,26.59,27.1,12942400,7.17
2010-06-24,26.85,27.4,26.85,27.21,11692300,7.2
2010-06-25,27.01,27.04,25.8,25.95,14414900,6.87
2010-06-28,26,26.16,25.5,25.5,10406800,6.75
2010-06-29,25.5,25.68,23.61,23.61,15682600,6.25
2010-06-30,23.15,23.46,22.46,22.96,11166500,6.08
2010-07-01,22.91,23.3,22.52,22.7,8102300,6.01
2010-07-02,22.79,22.97,21.75,22.82,10473300,6.04
2010-07-05,22.58,22.69,21.88,22.35,7618700,5.92
2010-07-06,22.3,23.1,22.21,23.06,11477300,6.1
2010-07-07,22.89,23.37,22.75,23.23,10493500,6.15
2010-07-08,23.23,23.38,22.75,22.78,9548200,6.03
2010-07-09,22.81,24,22.46,23.73,17336300,6.28
2010-07-12,23.71,24.2,23.5,24.1,16863500,6.38
2010-07-13,23.81,23.81,23.16,23.45,10222500,6.21
2010-07-14,23.47,23.73,23.35,23.49,9577200,6.22
2010-07-15,23.37,23.52,22.4,22.41,8468500,5.93
2010-07-16,22.09,22.85,22.09,22.71,5920000,6.01
2010-07-20,23.15,23.78,23.03,23.49,12282600,6.22
2010-07-21,23.41,24.18,23.32,23.78,14587400,6.3
2010-07-22,23.6,23.97,23.48,23.91,11353000,6.33
2010-07-23,24.09,24.95,24.05,24.37,17272100,6.45
2010-07-26,24.4,24.79,24.02,24.67,14474800,6.53
2010-07-27,24.58,24.58,24.26,24.26,8403900,6.42
2010-07-28,24.08,24.55,24.04,24.54,10622000,6.5
2010-07-29,24.64,25.58,24.54,25.48,20395000,6.75
2010-07-30,25.49,25.49,24.75,24.89,15285300,6.59
2010-08-02,24.84,25.29,24.69,25.15,12896100,6.66
2010-08-03,25.26,25.37,24.63,24.65,10380500,6.53
2010-08-04,24.53,24.7,24.11,24.7,10009700,6.54
2010-08-05,24.64,25.2,24.62,24.86,10293200,6.58
2010-08-06,24.7,25.19,24.6,25.15,10396700,6.66
2010-08-09,25.35,25.95,25.15,25.92,16556500,6.86
2010-08-10,25.95,25.95,24.7,24.7,15909300,6.54
2010-08-11,25.01,25.49,24.9,25.34,11901500,6.71
2010-08-12,24.99,25.53,24.93,25,9026700,6.62
2010-08-13,25.02,25.44,24.9,25.4,7885300,6.72
2010-08-16,25.37,25.88,25.2,25.73,12837200,6.81
2010-08-17,25.8,26.49,25.57,26.47,17026400,7.01
2010-08-18,26.33,26.46,25.81,25.92,11157700,6.86
2010-08-19,26.29,26.62,26.16,26.2,13256800,6.94
2010-08-20,26,26.02,25.3,25.33,9791300,6.71
2010-08-23,25.33,25.64,25.3,25.41,5385200,6.73
2010-08-24,25.68,26.12,25.67,25.89,9651100,6.85
2010-08-25,26,26.48,25.61,25.64,10275300,6.79
2010-08-26,25.65,25.95,25.18,25.39,6294000,6.72
2010-08-27,25.3,25.74,25.3,25.5,6007100,6.75
2010-08-30,25.67,26.27,25.58,26.07,10948600,6.9
2010-08-31,26.09,26.65,26.01,26.56,15860100,7.03
2010-09-01,26.68,26.8,25.64,25.92,14029200,6.86
