"Date","600000.SS.Open","600000.SS.High","600000.SS.Low","600000.SS.Close","600000.SS.Volume","600000.SS.Adjusted"
2007-01-01,20.33,21.53,20.32,21.31,0,7.42
2007-01-02,20.33,21.53,20.32,21.31,0,7.42
2007-01-03,20.33,21.53,20.32,21.31,0,7.42
2007-01-04,21.65,23.44,19.96,21.46,120404300,7.48
2007-01-05,21.46,21.46,19.52,20.83,84479400,7.26
2007-01-08,20.8,21.68,20.61,21.25,60306600,7.4
2007-01-09,21.03,22.9,21,22.79,77987900,7.94
2007-01-10,22.83,24.28,22.83,23.63,83464900,8.23
2007-01-11,23.5,24.33,22.52,23.22,54148100,8.09
2007-01-12,22.9,23.37,22.2,22.6,54926300,7.87
2007-01-15,22.92,24,22.71,23.95,53998900,8.34
2007-01-16,24.01,24.45,23.2,23.78,47779400,8.28
2007-01-17,23.85,24.01,22.54,22.94,69127700,7.99
2007-01-18,22.7,23.01,20.65,21.39,83626200,7.45
2007-01-19,21.5,22.3,21.5,21.82,70187800,7.6
2007-01-22,22.5,23.1,21.95,22.59,99780300,7.87
2007-01-23,22.88,24.85,22.32,24.85,116253800,8.66
2007-01-24,24.91,25.99,24.11,24.7,83505200,8.6
2007-01-25,24.3,25.5,23.81,24.37,67685500,8.49
2007-01-26,24.05,26.81,23.8,26.58,87946900,9.26
2007-01-29,26.4,27.8,25.97,27.19,88608100,9.47
2007-01-30,27,28.33,25.8,26.33,91921100,9.17
2007-01-31,26.28,26.28,23.7,24.99,66524700,8.7
2007-02-01,24.4,25.16,24.2,24.59,41437900,8.57
2007-02-02,24.65,24.97,22.33,23,47104600,8.01
2007-02-05,22.65,23.1,21.52,21.7,64446600,7.56
2007-02-06,21.68,23.44,20.59,23.17,122807400,8.07
2007-02-07,22.88,24.5,22.82,24,95044900,8.36
2007-02-08,23.95,24.14,23.01,23.52,39592100,8.19
2007-02-09,23.3,23.63,22.5,22.54,38244400,7.85
2007-02-12,22.9,24.2,22.6,24.14,34524100,8.41
2007-02-13,24.29,25.28,24.09,24.63,25826900,8.58
2007-02-14,24.8,25.58,24.48,25.04,30821800,8.72
2007-02-15,25.41,26.14,25.3,25.62,32032400,8.92
2007-02-16,25.66,26.15,25.25,25.49,53065600,8.88
2007-02-19,25.66,26.15,25.25,25.49,0,8.88
2007-02-20,25.66,26.15,25.25,25.49,0,8.88
2007-02-21,25.66,26.15,25.25,25.49,0,8.88
2007-02-22,25.66,26.15,25.25,25.49,0,8.88
2007-02-23,25.66,26.15,25.25,25.49,0,8.88
2007-02-26,25.26,25.26,23.91,24.26,60198600,8.45
2007-02-27,24.24,24.4,21.83,21.85,92149800,7.61
2007-02-28,21.38,22.48,21.18,22.32,78691900,7.77
2007-03-01,22.52,22.82,21.61,21.87,55552100,7.62
2007-03-02,21.89,22.19,21.43,21.95,56341600,7.65
2007-03-05,21.7,22.38,21.2,21.65,42655800,7.54
2007-03-06,21.8,23.82,21.79,23.6,129061500,8.22
2007-03-07,23.27,24.64,23.02,23.9,80287200,8.32
2007-03-08,23.9,24.28,23.41,24.15,29294300,8.41
2007-03-09,24.29,25.18,24.25,24.82,72168600,8.65
2007-03-12,24.8,24.81,23.69,24,44855500,8.36
2007-03-13,24,24,23.31,23.61,26291200,8.22
2007-03-14,23.01,23.22,22.51,22.91,53148900,7.98
2007-03-15,23.11,24.2,23.1,24.11,48323400,8.4
2007-03-16,24.4,24.58,22.88,23.11,37741400,8.05
2007-03-19,22.61,25.42,22.55,25.37,123190300,8.84
2007-03-20,25.19,25.42,24.65,25.03,55201100,8.72
2007-03-21,25.05,26.5,25.03,26.17,106200000,9.12
2007-03-22,26.37,26.63,25.8,26.28,83029600,9.15
